run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,underflows,overflows,binedges,binvalues
CBR-DL-0-20241130-12:16:57-444844,runattr,,,configname,CBR-DL,,,,,,,,,,,
CBR-DL-0-20241130-12:16:57-444844,runattr,,,datetime,20241130-12:16:57,,,,,,,,,,,
CBR-DL-0-20241130-12:16:57-444844,runattr,,,datetimef,20241130-121657,,,,,,,,,,,
CBR-DL-0-20241130-12:16:57-444844,runattr,,,experiment,CBR-DL,,,,,,,,,,,
CBR-DL-0-20241130-12:16:57-444844,runattr,,,inifile,omnetpp.ini,,,,,,,,,,,
CBR-DL-0-20241130-12:16:57-444844,runattr,,,iterationvars,"$u=0, $numRbs=50, $numUEs=1",,,,,,,,,,,
CBR-DL-0-20241130-12:16:57-444844,runattr,,,iterationvarsd,u=0/numRbs=50/numUEs=1,,,,,,,,,,,
CBR-DL-0-20241130-12:16:57-444844,runattr,,,iterationvarsf,"u=0,numRbs=50,numUEs=1-",,,,,,,,,,,
CBR-DL-0-20241130-12:16:57-444844,runattr,,,measurement,"$u=0, $numRbs=50, $numUEs=1",,,,,,,,,,,
CBR-DL-0-20241130-12:16:57-444844,runattr,,,network,simu5g.simulations.SatCom.networks.MultiSeveralSatelliteSatUE_Standalone,,,,,,,,,,,
CBR-DL-0-20241130-12:16:57-444844,runattr,,,processid,444844,,,,,,,,,,,
CBR-DL-0-20241130-12:16:57-444844,runattr,,,repetition,0,,,,,,,,,,,
CBR-DL-0-20241130-12:16:57-444844,runattr,,,replication,#0,,,,,,,,,,,
CBR-DL-0-20241130-12:16:57-444844,runattr,,,resultdir,results,,,,,,,,,,,
CBR-DL-0-20241130-12:16:57-444844,runattr,,,runnumber,0,,,,,,,,,,,
CBR-DL-0-20241130-12:16:57-444844,runattr,,,seedset,0,,,,,,,,,,,
CBR-DL-0-20241130-12:16:57-444844,itervar,,,numRbs,50,,,,,,,,,,,
CBR-DL-0-20241130-12:16:57-444844,itervar,,,numUEs,1,,,,,,,,,,,
CBR-DL-0-20241130-12:16:57-444844,itervar,,,u,0,,,,,,,,,,,
CBR-DL-0-20241130-12:16:57-444844,config,,,extends,MultiCell,,,,,,,,,,,
CBR-DL-0-20241130-12:16:57-444844,config,,,description,CBR DL traffic from remote server to UEs,,,,,,,,,,,
CBR-DL-0-20241130-12:16:57-444844,config,,,*.ue[*].numApps,1,,,,,,,,,,,
CBR-DL-0-20241130-12:16:57-444844,config,,,*.server.numApps,1,,,,,,,,,,,
CBR-DL-0-20241130-12:16:57-444844,config,,,*.ue[*].app[*].typename,CbrReceiver,,,,,,,,,,,
CBR-DL-0-20241130-12:16:57-444844,config,,,*.ue[*].app[*].localPort,3000,,,,,,,,,,,
CBR-DL-0-20241130-12:16:57-444844,config,,,*.server.app[*].typename,CbrSender,,,,,,,,,,,
CBR-DL-0-20241130-12:16:57-444844,config,,,*.server.app[*].PacketSize,100,,,,,,,,,,,
CBR-DL-0-20241130-12:16:57-444844,config,,,*.server.app[*].sampling_time,0.02s,,,,,,,,,,,
